"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","exploration_fraction","history_len","lr","nb_timesteps","optimization_mode","problem","problemclass_eval","problemclass_train","reward_system","agent_count","agent_score","all_optimizer_count.Adam","all_optimizer_count.RMSprop","all_optimizer_count.SGD","all_optimizer_count.agent","all_optimizers_scores.Adam","all_optimizers_scores.RMSprop","all_optimizers_scores.SGD","all_optimizers_scores.agent","optimizers_scores.Adam","optimizers_scores.RMSprop","optimizers_scores.SGD","optimizers_scores.agent","optimizers_scores.random_agent"
"kind-sweep-43","b9mb8jl4","finished","-","tidiane","","2022-12-03T03:06:50.000Z","684","qmr074oo","0.25","15","0.01","80502","hard","","","","opposite","","0.32","","","","","","","","","0.01","0.63","0.04","0.32","0"
"classic-sweep-42","whvscye9","finished","-","tidiane","","2022-12-03T03:01:19.000Z","1083","qmr074oo","0.25","15","0.01","46778","hard","","","","lookahead","","0.024","","","","","","","","","0.022","0.912","0.032","0.024","0.01"
"lilac-sweep-41","b9mb8jl4","finished","-","tidiane","","2022-12-03T02:56:20.000Z","626","qmr074oo","0.25","15","0.01","62497","hard","","","","inverse","","0.49","","","","","","","","","0.01","0.46","0.04","0.49","0"
"easy-sweep-40","b9mb8jl4","finished","-","tidiane","","2022-12-03T02:48:26.000Z","470","qmr074oo","0.25","15","0.01","4186","hard","","","","threshold","","0.01","","","","","","","","","0.01","0.94","0.04","0.01","0"
"gallant-sweep-39","whvscye9","finished","-","tidiane","","2022-12-03T02:47:22.000Z","833","qmr074oo","0.25","15","0.01","52257","hard","","","","opposite","","0.328","","","","","","","","","0.022","0.598","0.042","0.328","0.01"
"worthy-sweep-38","b9mb8jl4","finished","-","tidiane","","2022-12-03T02:39:36.000Z","527","qmr074oo","0.25","15","0.01","25090","hard","","","","opposite","","0.01","","","","","","","","","0.01","0.93","0.04","0.01","0.01"
"astral-sweep-37","whvscye9","finished","-","tidiane","","2022-12-03T02:34:30.000Z","767","qmr074oo","0.25","15","0.01","48132","hard","","","","opposite","","0.016","","","","","","","","","0.02","0.912","0.042","0.016","0.01"
"jolly-sweep-36","b9mb8jl4","finished","-","tidiane","","2022-12-03T02:21:29.000Z","1085","qmr074oo","0.25","15","0.01","82165","hard","","","","lookahead","","0.17","","","","","","","","","0.01","0.77","0.04","0.17","0.01"
"effortless-sweep-35","whvscye9","finished","-","tidiane","","2022-12-03T02:20:45.000Z","822","qmr074oo","0.25","15","0.01","52552","hard","","","","inverse","","0.022","","","","","","","","","0.022","0.92","0.034","0.022","0.002"
"valiant-sweep-34","b9mb8jl4","finished","-","tidiane","","2022-12-03T02:09:31.000Z","713","qmr074oo","0.25","15","0.01","86243","hard","","","","inverse","","0.27","","","","","","","","","0.01","0.65","0.04","0.27","0.03"
"stellar-sweep-33","whvscye9","finished","-","tidiane","","2022-12-03T02:02:47.000Z","1076","qmr074oo","0.25","15","0.01","65855","hard","","","","threshold","","0.386","","","","","","","","","0.016","0.546","0.042","0.386","0.01"
"woven-sweep-32","b9mb8jl4","finished","-","tidiane","","2022-12-03T01:57:26.000Z","720","qmr074oo","0.25","15","0.01","90131","hard","","","","inverse","","0.46","","","","","","","","","0.01","0.49","0.04","0.46","0"
"happy-sweep-31","whvscye9","finished","-","tidiane","","2022-12-03T01:49:59.000Z","764","qmr074oo","0.25","15","0.01","14511","hard","","","","lookahead","","0.35","","","","","","","","","0.02","0.582","0.032","0.35","0.016"
"drawn-sweep-30","b9mb8jl4","finished","-","tidiane","","2022-12-03T01:49:45.000Z","459","qmr074oo","0.25","15","0.01","5719","hard","","","","threshold","","0.31","","","","","","","","","0.01","0.63","0.04","0.31","0.01"
"ethereal-sweep-29","b9mb8jl4","finished","-","tidiane","","2022-12-03T01:40:11.000Z","570","qmr074oo","0.25","15","0.01","44394","hard","","","","threshold","","0.01","","","","","","","","","0.01","0.92","0.04","0.01","0.02"
"wobbly-sweep-28","b9mb8jl4","finished","-","tidiane","","2022-12-03T01:31:25.000Z","520","qmr074oo","0.25","15","0.01","9932","hard","","","","lookahead","","0.01","","","","","","","","","0.01","0.93","0.04","0.01","0.01"
"glad-sweep-27","b9mb8jl4","finished","-","tidiane","","2022-12-03T01:23:36.000Z","464","qmr074oo","0.25","15","0.01","7643","hard","","","","threshold","","0.31","","","","","","","","","0.01","0.62","0.04","0.31","0.02"
"gallant-sweep-26","whvscye9","finished","-","tidiane","","2022-12-03T01:21:39.000Z","1694","qmr074oo","0.25","15","0.01","99572","hard","","","","inverse","","0.104","","","","","","","","","0.02","0.828","0.038","0.104","0.01"
"whole-sweep-25","b9mb8jl4","finished","-","tidiane","","2022-12-03T01:15:28.000Z","483","qmr074oo","0.25","15","0.01","15190","hard","","","","threshold","","0.01","","","","","","","","","0.01","0.92","0.04","0.01","0.02"
